Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_roll,Angle_pitch,Angle_yaw,Mag_X,Mag_Y,Mag_Z,Heading
0.102,0.023,0.97,-0.41,-0.69,0.26,0.26,-6.22,16.71,44.14,-56.5,-33.53,52.00166114
0.089,0.029,0.992,-0.95,0.12,0.45,0.21,-6.23,16.76,44.95,-56.88,-35.49,51.68208624
0.095,0.025,0.997,-1.22,0.78,0.45,0.15,-6.19,16.8,43.33,-60.71,-35.49,54.48375388
0.09,-0.015,0.931,-0.85,0.86,0.17,0.1,-6.12,16.83,45.35,-59.94,-35.88,52.88921787
0.1,0.036,0.967,-1.18,0.26,0.43,0.04,-6.04,16.87,44.34,-59.75,-36.08,53.42118373
0.084,0.013,1.006,-1.38,0.49,0.39,-0.03,-5.96,16.91,44.34,-59.75,-36.08,53.42118373
0.088,0.031,1.002,-1.72,0.58,0.12,-0.07,-5.89,16.94,44.34,-59.75,-36.08,53.42118373
0.09,0.029,1.003,-0.8,0.18,0.19,-0.08,-5.86,16.95,44.14,-58.41,-35.1,52.92193142
0.092,0.017,1.003,-0.5,-0.66,-0.08,-0.09,-5.89,16.95,44.34,-57.46,-34.9,52.34380717
0.102,0.013,0.978,0.22,-0.84,-0.18,-0.07,-5.94,16.94,45.96,-57.84,-36.08,51.52914213
0.097,0.02,0.986,-0.43,-0.94,-0.46,-0.04,-6.03,16.93,45.96,-57.84,-36.08,51.52914213
0.088,0.04,0.978,0.51,-0.2,0.12,0.01,-6.12,16.92,44.14,-58.8,-35.1,53.1051654
0.13,0.007,0.971,1.6,0.24,0.04,0.09,-6.18,16.91,44.34,-58.22,-36.47,52.70732073
0.109,0.038,0.99,0.74,-0.36,-0.15,0.17,-6.22,16.89,42.93,-59.18,-34.31,54.04234349
0.111,0.038,0.992,0.75,0.07,-0.05,0.26,-6.22,16.89,44.14,-59.56,-35.1,53.45780356
0.091,0.041,0.996,0.52,0.09,0.18,0.34,-6.18,16.88,44.14,-59.56,-35.1,53.45780356
0.097,0.027,1.021,0.09,0.93,-0.26,0.42,-6.12,16.87,44.34,-58.99,-34.51,53.06954258
0.093,0.017,1.018,0.38,0.75,-0.29,0.46,-6.06,16.84,43.94,-59.37,-34.12,53.49469283
0.095,0.03,0.995,-0.02,0.66,-0.38,0.48,-6,16.8,43.13,-59.75,-34.12,54.17670434
0.094,0.036,0.973,-0.93,0.63,-0.6,0.48,-5.95,16.75,43.13,-59.75,-34.12,54.17670434
0.094,0.032,0.99,-0.9,0.66,-0.48,0.45,-5.92,16.71,41.92,-59.37,-34.9,54.77482988
0.104,0.029,1.017,-1.23,0.25,-0.53,0.39,-5.92,16.66,45.96,-57.46,-33.73,51.34505618
0.087,0.023,1.012,-0.44,-0.47,-0.56,0.32,-5.92,16.62,43.33,-59.56,-35.1,53.96404769
0.102,0.015,1.014,-0.33,0.28,-0.37,0.27,-5.91,16.56,43.33,-59.56,-35.1,53.96404769
0.088,0.012,1.001,-0.53,-0.71,-0.79,0.23,-5.9,16.5,43.33,-59.56,-35.1,53.96404769
0.098,0.018,0.973,-0.68,0.24,-1.08,0.2,-5.91,16.42,42.93,-59.56,-34.71,54.21647359
0.098,0.012,0.988,-0.01,-0.29,-1.26,0.19,-5.93,16.31,43.54,-57.84,-34.9,53.02880046
0.094,0.026,0.998,-0.57,-0.15,-1.41,0.2,-5.95,16.17,42.12,-56.88,-36.27,53.47981793
0.089,0.016,0.992,0.15,-0.59,-1.51,0.22,-5.97,16.01,43.13,-58.22,-34.9,53.46855583
